userID,ISBN,rating
277427,002542730X,10
277427,0060002050,0
277427,0060192704,0
277427,0060542128,7
277427,0060913509,0
277427,006092988X,0
277427,0060930535,0
277427,0060932139,0
277427,0060934417,0
277427,0061009059,9
277427,0061030430,0
277427,0062505319,0
277427,0064400859,0
277427,006440188X,0
277427,0099288850,0
277427,0140067477,0
277427,0140086838,0
277427,014029628X,0
277427,0140621792,0
277427,014100018X,0
277427,0142001740,0
277427,0152050167,10
277427,0310205719,0
277427,0312961006,0
277427,0312965966,0
277427,0312966091,0
277427,031298328X,0
277427,0316037451,0
277427,0316096199,0
277427,0316168688,0
277427,0316284955,0
277427,0316569321,0
277427,0316602051,0
277427,0316666343,0
277427,0316776963,8
277427,0316777730,0
277427,033031582,8
277427,0345285859,0
277427,0345311396,0
277427,0345327772,0
277427,0345334019,0
277427,0345338545,0
277427,0345339681,0
277427,0345347226,0
277427,0345361792,0
277427,0345404769,0
277427,0345404777,0
277427,0345404785,0
277427,0345408039,0
277427,0345412214,0
277427,0345413903,10
277427,0345436911,0
277427,0373484232,0
277427,0374199698,0
277427,0375703764,0
277427,0375727132,0
277427,0375751513,9
277427,0380600129,0
277427,0380702843,8
277427,0380710218,0
277427,0380718332,0
277427,0380718758,0
277427,0380791978,9
277427,038081904X,9
277427,0380820048,0
277427,0385424736,9
277427,0385482388,0
277427,0385484518,0
277427,0385486804,9
277427,038548951X,0
277427,0385503857,9
277427,0385504209,8
277427,0393039242,0
277427,039304016X,8
277427,0394556968,0
277427,0399144463,0
277427,0399145990,0
277427,0399149562,7
277427,0399501487,9
277427,0425104273,0
277427,0425104338,9
277427,0425107469,0
277427,0425113884,0
277427,0425115801,0
277427,0425116840,8
277427,0425121631,0
277427,0425125467,0
277427,0425131769,0
277427,0425133516,9
277427,042514755X,0
277427,0425152898,0
277427,0425154092,0
277427,0425155943,0
277427,0425157466,0
277427,0425158616,0
277427,0425163865,0
277427,0425169871,0
277427,0425174271,0
277427,0425175405,0
277427,042518627X,0
277427,0425190749,7
277427,0439064872,0
277427,0439136369,0
277427,043936213X,0
277427,044011585X,0
277427,0440170796,0
277427,0440173922,0
277427,0440176484,0
277427,0440185327,5
277427,0440193613,0
277427,0440205506,0
277427,0440208459,0
277427,0440210690,0
277427,0440213320,0
277427,0440213991,0
277427,0440217466,0
277427,0440221501,0
277427,0440224764,7
277427,0440225450,0
277427,0440225701,0
277427,0440236061,8
277427,0440236703,0
277427,0440236738,9
277427,0440241073,0
277427,0440419468,0
277427,0440428130,8
277427,0441172717,0
277427,0441627404,10
277427,0446350982,9
277427,0446600415,10
277427,0446602620,0
277427,0446603716,0
277427,0446604801,0
277427,0446607193,0
277427,0446608009,0
277427,0446608890,10
277427,0446611212,0
277427,0446677507,0
277427,0449221482,0
277427,0449221504,0
277427,044922502X,0
277427,0451113357,0
277427,0451141083,0
277427,0451169522,0
277427,0451177096,0
277427,0451184742,0
277427,0451191153,8
277427,0451202503,0
277427,0451203593,10
277427,0451526562,0
277427,0452283736,0
277427,0452284449,6
277427,0486424634,0
277427,0515128015,0
277427,0515128600,0
277427,0515130923,0
277427,0515132020,0
277427,0515133302,0
277427,0552137030,8
277427,0552996181,0
277427,0553133160,0
277427,0553268880,0
277427,0553271636,0
277427,0553274295,0
277427,0553279556,0
277427,0553280341,0
277427,0553280368,9
277427,0553295780,0
277427,0553297422,0
277427,0553297619,0
277427,0553571656,10
277427,0553571818,0
277427,0553572997,0
277427,0553573926,10
277427,0553574566,9
277427,0553577808,0
277427,0553578936,0
277427,0553579525,0
277427,0553581058,0
277427,0553581112,0
277427,0553581929,9
277427,0553582755,0
277427,0553586122,0
277427,0553801430,0
277427,0609804138,0
277427,067091021X,0
277427,0671001795,0
277427,067101417X,0
277427,0671014420,5
277427,0671016776,0
277427,0671441981,0
277427,0671528904,8
277427,067170561X,0
277427,0671729470,0
277427,0671740504,8
277427,0671741209,0
277427,0671749897,8
277427,0671782525,0
277427,0671876821,8
277427,067940676X,0
277427,067941388X,0
277427,0679457313,0
277427,0679459626,0
277427,0679731148,9
277427,0679731377,0
277427,0679736042,5
277427,0679751521,0
277427,0684846713,0
277427,0684859300,0
277427,0684864320,0
277427,0684872153,0
277427,0688065716,0
277427,068971310X,0
277427,0740723367,9
277427,0743406176,8
277427,0743412028,9
277427,0743422082,9
277427,0743422910,0
277427,0743444477,9
277427,0743457943,8
277427,0749395990,0
277427,0767903382,10
277427,0786866845,10
277427,080410753X,0
277427,0804108749,0
277427,080411918X,0
277427,0805051309,0
277427,0811801802,0
277427,0811802981,10
277427,0811811409,10
277427,0812504798,8
277427,0821770829,0
277427,0836204387,0
277427,0836210263,10
