user_id,ISBN,rating
314,439554934,3
588,439554934,1
2077,439554934,2
2487,439554934,3
2900,439554934,3
3662,439554934,4
4536,439554934,1
5115,439554934,4
5272,439554934,5
5461,439554934,2
5885,439554934,4
6063,439554934,5
6630,439554934,5
6634,439554934,3
7001,439554934,4
9246,439554934,1
9731,439554934,2
9771,439554934,3
10140,439554934,3
10246,439554934,1
10249,439554934,5
10509,439554934,1
10610,439554934,1
10751,439554934,1
10944,439554934,1
11285,439554934,2
11408,439554934,3
11599,439554934,4
11854,439554934,1
11927,439554934,4
12471,439554934,2
12946,439554934,4
13274,439554934,5
13282,439554934,5
13794,439554934,1
14546,439554934,5
15604,439554934,1
16377,439554934,1
16569,439554934,1
16913,439554934,4
17434,439554934,4
17663,439554934,4
18031,439554934,3
18313,439554934,5
19724,439554934,4
19942,439554934,4
19984,439554934,2
20076,439554934,3
20782,439554934,4
20848,439554934,4
21228,439554934,3
21487,439554934,3
21733,439554934,1
22602,439554934,3
23576,439554934,1
23612,439554934,3
24326,439554934,3
24389,439554934,3
25182,439554934,3
25214,439554934,1
26398,439554934,2
26629,439554934,4
28767,439554934,3
29703,439554934,1
30681,439554934,4
32305,439554934,1
32592,439554934,5
32635,439554934,4
32918,439554934,5
33065,439554934,1
33716,439554934,3
36099,439554934,4
36240,439554934,2
37284,439554934,1
37834,439554934,4
37855,439554934,3
38080,439554934,5
38082,439554934,3
38475,439554934,3
42404,439554934,5
43602,439554934,4
43985,439554934,2
46977,439554934,2
47746,439554934,5
48482,439554934,3
48687,439554934,1
49288,439554934,5
49289,439554934,5
49295,439554934,5
49297,439554934,5
49298,439554934,1
50096,439554934,5
50101,439554934,5
50102,439554934,5
50104,439554934,5
50133,439554934,5
51166,439554934,3
51460,439554934,2
52036,439554934,1
53292,439554934,5
324,61120081,4
1600,61120081,2
1800,61120081,4
2077,61120081,1
2779,61120081,3
2981,61120081,3
3261,61120081,3
4212,61120081,3
4706,61120081,4
4714,61120081,4
4791,61120081,3
5467,61120081,4
6008,61120081,3
6965,61120081,3
7028,61120081,3
8750,61120081,5
8779,61120081,5
8861,61120081,5
9214,61120081,5
9440,61120081,5
9673,61120081,4
9826,61120081,4
9841,61120081,3
10455,61120081,5
10988,61120081,5
11675,61120081,4
12526,61120081,3
12930,61120081,4
13034,61120081,4
13170,61120081,3
13274,61120081,3
14060,61120081,5
14149,61120081,4
14185,61120081,2
14499,61120081,4
15009,61120081,4
16026,61120081,3
16046,61120081,4
16123,61120081,3
16347,61120081,3
16371,61120081,3
17220,61120081,4
17475,61120081,3
18068,61120081,3
18811,61120081,2
19184,61120081,5
19234,61120081,4
19248,61120081,3
20572,61120081,4
20689,61120081,5
20855,61120081,3
21033,61120081,3
21162,61120081,3
21610,61120081,3
21739,61120081,5
21960,61120081,4
21987,61120081,4
22186,61120081,5
22313,61120081,5
22356,61120081,4
23439,61120081,3
23558,61120081,2
23891,61120081,5
24011,61120081,4
24488,61120081,5
26294,61120081,4
26992,61120081,4
27361,61120081,2
27997,61120081,3
28459,61120081,3
28531,61120081,1
28541,61120081,4
28601,61120081,4
30016,61120081,3
30036,61120081,5
30268,61120081,5
30871,61120081,5
31887,61120081,5
32021,61120081,4
33547,61120081,3
34037,61120081,4
34284,61120081,5
34568,61120081,4
35689,61120081,2
36240,61120081,4
36340,61120081,4
38629,61120081,4
39006,61120081,3
39239,61120081,2
39560,61120081,3
40721,61120081,4
41893,61120081,4
43831,61120081,3
44001,61120081,5
45116,61120081,2
45881,61120081,3
47370,61120081,3
48860,61120081,3
50074,61120081,4
51065,61120081,4
206,743273567,3
1182,743273567,3
1392,743273567,4
1518,743273567,3
2434,743273567,3
2629,743273567,2
2722,743273567,4
3296,743273567,4
4124,743273567,4
5136,743273567,3
5203,743273567,2
5624,743273567,3
5852,743273567,4
6616,743273567,5
7123,743273567,4
7225,743273567,5
7599,743273567,4
7834,743273567,4
8501,743273567,4
9064,743273567,5
9456,743273567,4
9608,743273567,5
10610,743273567,3
11134,743273567,5
12434,743273567,3
12782,743273567,4
12923,743273567,3
13407,743273567,4
13520,743273567,5
14741,743273567,4
14969,743273567,3
15075,743273567,3
15105,743273567,2
15758,743273567,3
15837,743273567,4
15856,743273567,3
16810,743273567,5
16946,743273567,5
17052,743273567,5
17285,743273567,4
17718,743273567,3
17883,743273567,5
18198,743273567,4
18480,743273567,4
19158,743273567,5
19924,743273567,4
20077,743273567,3
20157,743273567,3
21215,743273567,3
21256,743273567,4
21558,743273567,3
22093,743273567,2
22228,743273567,4
22552,743273567,3
22590,743273567,5
22601,743273567,5
22629,743273567,4
22901,743273567,4
22926,743273567,4
23508,743273567,5
24396,743273567,4
24936,743273567,3
25209,743273567,5
25438,743273567,4
26239,743273567,4
26429,743273567,4
26511,743273567,3
27112,743273567,4
27642,743273567,2
27838,743273567,3
27898,743273567,3
28563,743273567,4
30199,743273567,3
30957,743273567,5
31569,743273567,5
32773,743273567,5
33716,743273567,4
33838,743273567,4
34258,743273567,3
34270,743273567,3
34360,743273567,4
34623,743273567,4
35262,743273567,4
35855,743273567,3
36115,743273567,3
36456,743273567,3
37712,743273567,3
38420,743273567,5
40703,743273567,3
41616,743273567,4
42388,743273567,3
43712,743273567,3
44080,743273567,4
46524,743273567,4
47370,743273567,3
47730,743273567,4
48726,743273567,3
49466,743273567,4
50707,743273567,4
52479,743273567,4
10,618260307,4
1593,618260307,4
2257,618260307,3
2458,618260307,4
2469,618260307,3
4482,618260307,4
4919,618260307,3
5121,618260307,5
5159,618260307,3
5827,618260307,5
6884,618260307,5
7410,618260307,4
7875,618260307,4
8157,618260307,4
8305,618260307,5
8646,618260307,5
8709,618260307,4
